phase,task_group,task,question,option_a,option_b,option_c,option_d,correct_answer,explanation
Phase I: Business Understanding,Cognitive Project Requirements,Cognitive Requirements,A team is working on a project to predict equipment failures in a manufacturing plant. The business objective is to 'reduce unplanned downtime by 30%.' Which of the following correctly represents the cognitive requirement for this project?,The ability to perform predictive modeling and time-series analysis on sensor data to identify patterns that precede equipment failures before they occur.,"The installation of IoT sensors on all critical manufacturing equipment to collect vibration, temperature, and pressure data at five-second intervals.",The development of a mobile application that alerts maintenance technicians in real time when the AI system predicts an equipment failure is imminent.,The integration of the prediction system with the plant's existing SAP maintenance module to automatically generate work orders for preventive service.,A,"Option A is correct. Predictive modeling and time-series analysis on sensor data represent the cognitive capability the system needs to demonstrate — this directly translates the business objective (reduce downtime) into the type of intelligence required. Option B is incorrect because IoT sensor installation is a data infrastructure requirement, not a cognitive capability. Sensors provide the data, but the cognitive requirement is about what the system does with that data. Option C is incorrect because a mobile alert application is a user interface and notification requirement, not a cognitive capability of the AI system itself. Option D is incorrect because SAP integration and automated work order generation are system integration requirements that belong in later phases, not cognitive requirements in Phase I. [Maps to: Phase I – Cognitive Project Requirements – Cognitive Requirements]"
Phase I: Business Understanding,Cognitive Project Requirements,AI Pattern Identification,"A project's cognitive requirement is to 'predict the future sales volume of a product for the next 12 months based on historical sales data, seasonality, and promotional events.' Which AI pattern is the most appropriate match for this cognitive requirement?","Classification, because the system needs to categorize future sales into predefined volume brackets such as high, medium, and low demand levels.","Clustering, because the system should group similar sales periods together to identify recurring seasonal patterns across product categories.","Regression or time-series forecasting, because the system needs to predict a continuous numerical output (sales volume) across a future time horizon.","Anomaly detection, because the system must identify unusual spikes or drops in sales volume that deviate from established historical patterns.",C,"Option A is incorrect because classification assigns discrete categories, but the requirement is to predict a continuous numerical value (sales volume), not to categorize it into brackets. Option B is incorrect because clustering groups similar data points for pattern discovery, but the requirement is to predict a specific future value, not to discover groupings in historical data. Option C is correct. Predicting a continuous numerical value (sales volume) over a future time horizon is a regression or time-series forecasting problem. This directly matches the cognitive requirement. Option D is incorrect because anomaly detection identifies unusual deviations, but the requirement is to predict expected future values, not to flag anomalies in existing data. [Maps to: Phase I – Cognitive Project Requirements – AI Pattern Identification]"
Phase I: Business Understanding,Cognitive Project Requirements,AI Pattern Identification,"A team has a business objective to 'personalize product recommendations for website visitors based on their browsing history and purchase behavior.' They correctly identified the AI pattern as 'Recommendation System' in Phase I, but a junior data scientist argues the pattern should be identified later during model development. Why is this a problem?","Delaying pattern identification until Phase IV means the team may collect and prepare the wrong type of data in Phases II and III, wasting significant effort and resources.",Identifying the pattern early locks the team into a single approach and prevents them from exploring alternative algorithms during the model development phase.,The AI pattern should be identified during Phase V: Model Evaluation so the team can compare multiple patterns against the actual model performance results.,Delaying pattern identification has no practical impact because modern AutoML tools can automatically determine the correct pattern from any sufficiently large dataset.,A,"Option A is correct. AI Pattern Identification is a Phase I activity because the selected pattern drives data collection (Phase II) and data preparation (Phase III). Delaying it to Phase IV means the team may collect and prepare data unsuitable for the correct pattern, cascading into wasted effort across multiple phases. Option B is incorrect because identifying the pattern early does not lock the team into a single algorithm — the pattern (recommendation) is different from the specific algorithm. Multiple algorithms can implement the same pattern. Option C is incorrect because Phase V evaluates model results against pre-established criteria; it does not determine which AI pattern to use. Pattern identification must occur in Phase I. Option D is incorrect because while AutoML can assist with algorithm selection, it cannot compensate for fundamentally wrong data collected because the pattern was not identified upfront. [Maps to: Phase I – Cognitive Project Requirements – AI Pattern Identification]"
Phase I: Business Understanding,Cognitive Project Requirements,AI Pattern Identification,A team is defining a project to 'detect unusual patterns in network traffic that may indicate cybersecurity threats.' They have identified the cognitive requirement as 'real-time anomaly detection in high-volume streaming data.' Why is identifying the AI pattern (anomaly detection) in Phase I critical for this project?,It ensures the team focuses on collecting the right type of data in Phase II — such as labeled normal and anomalous network traffic logs with appropriate temporal granularity.,"The AI pattern should actually be identified during Phase IV: Model Development, after the team has explored the data and determined which algorithms are most effective.",Identifying the AI pattern in Phase I is a formality that has little practical impact because experienced data scientists can adapt any modeling approach to fit the data.,"It ensures that the Phase I project plan includes a cost-benefit analysis specifically for anomaly detection infrastructure, which is required before the Go/No-Go decision.",A,"Option A is correct. Identifying anomaly detection as the AI pattern in Phase I ensures that Phase II data collection focuses on the right data — labeled network traffic with normal and anomalous examples, appropriate temporal granularity, and sufficient volume. Phase I pattern identification guides all subsequent data and modeling decisions. Option B is incorrect because the CPMAI framework places AI Pattern Identification in Phase I, not Phase IV. Deferring to Phase IV risks collecting wrong data in Phase II and preparing it incorrectly in Phase III. Option C is incorrect because AI Pattern Identification is a substantive Phase I activity, not a formality. The selected pattern drives data collection, preparation, model selection, and evaluation criteria across the entire lifecycle. Option D is incorrect because while cost-benefit analysis is a Phase I activity, it assesses overall project viability — it is not specifically triggered by or dependent on the AI pattern selection. [Maps to: Phase I – Cognitive Project Requirements – AI Pattern Identification]"
Phase I: Business Understanding,Cognitive Project Requirements,AI Pattern Identification,A team's business objective is to 'automatically assess the sentiment of customer reviews and route negative reviews to the retention team within one hour.' The cognitive requirement is 'natural language understanding to classify review sentiment.' Which AI pattern is the correct match?,"Regression, because the system needs to assign a continuous sentiment score from negative to positive on a numerical scale for each customer review.","Clustering, because the system should group reviews into natural categories based on the language patterns and topics discussed by customers.","Anomaly detection, because the system must identify reviews that deviate significantly from the typical positive sentiment baseline of the customer population.","Classification, because the system needs to assign each review to a discrete sentiment category (positive, negative, neutral) to enable routing decisions.",D,"Option A is incorrect because while sentiment can be scored numerically, the business requirement is to route negative reviews — this requires discrete categorization (positive/negative/neutral), not a continuous score. The routing decision is inherently categorical. Option B is incorrect because clustering discovers natural groupings in unlabeled data, but the requirement specifies predefined sentiment categories. This is a supervised classification task, not unsupervised clustering. Option C is incorrect because anomaly detection identifies unusual deviations from normal patterns, but sentiment classification assigns every review to a category — it is not looking for outliers. Option D is correct. Classifying each review into a discrete sentiment category (positive, negative, neutral) is a classification task. This directly matches the cognitive requirement and enables the business process of routing negative reviews to the retention team. [Maps to: Phase I – Cognitive Project Requirements – AI Pattern Identification]"
Phase I: Business Understanding,Assess Situation,Resource Requirements,A project team is defining resource requirements for a new predictive maintenance system. The project manager needs to secure budget for specialized cloud-based GPU instances to train deep learning models on sensor data. Which resource category does this requirement primarily fall under?,Technology resources — the need for specific computational infrastructure such as cloud-based GPU instances to support model training.,Human resources — the need to hire additional data scientists with deep learning expertise to build and tune the prediction models.,Data resources — the requirement for high-frequency sensor data streams from manufacturing equipment to train the predictive models.,"Financial resources — the overall project budget allocation that must cover infrastructure, personnel, data acquisition, and maintenance.",A,"Option A is correct. The requirement for cloud-based GPU instances is a specific type of computational infrastructure, which falls under the technology resources category. Resource requirements in Phase I must categorize needs across human, data, technology, and financial dimensions. Option B is incorrect because it describes human expertise and staffing needs, not the computational hardware being requested. Option C is incorrect because it describes the data itself that will be used for training, not the technology infrastructure needed to process it. Option D is incorrect because while the GPU cost is part of the overall financial budget, the requirement being defined here is for a specific technology asset, not the financial category as a whole. [Maps to: Phase I – Assess Situation – Resource Requirements]"
Phase I: Business Understanding,Assess Situation,Resource Requirements,"A retail company is planning an AI project to optimize inventory across 500 stores. The initial resource plan includes one part-time data scientist and assumes all necessary data is readily available in a clean data warehouse. Six weeks into the project, the team discovers that inventory data is spread across legacy systems in different formats, requiring significant manual effort to clean and integrate. What is the primary reason for this project setback?","The business objective was not clearly defined by stakeholders, leading to misaligned expectations about the scope and complexity of the work required.","The team underestimated the data resources required, specifically the effort needed for data access, cleaning, and integration across legacy systems.","The AI pattern was incorrectly identified during Phase I, which caused the team to prepare for the wrong type of modeling approach and data structure.","The schedule requirements did not account for adequate stakeholder review periods, which delayed critical decisions about data source prioritization.",B,"Option A is incorrect because while clear business objectives are important, the setback described stems from a resource planning failure — underestimating data complexity — not from unclear objectives. Option B is correct. This scenario directly illustrates the common failure mode of underestimating resource requirements, specifically the effort and complexity associated with data resources (access, cleaning, integration across legacy systems). Realistic resource assessment is critical in Phase I. Option C is incorrect because the problem is data availability and quality, not the wrong AI pattern selection. The team would face this data challenge regardless of the pattern chosen. Option D is incorrect because the issue is insufficient resources allocated for data work, not a missed stakeholder review. The schedule failed because the resource estimate was unrealistic. [Maps to: Phase I – Assess Situation – Resource Requirements]"
Phase I: Business Understanding,Assess Situation,Resource Requirements,"A healthcare startup has a strong business case for an AI-driven diagnostic tool with a projected high ROI. They have secured funding and have enthusiastic business stakeholders. However, their assessment reveals that the only data available is a small set of unstructured physician notes, and they have no budget to acquire or label additional data. According to CPMAI principles, what should the outcome of the AI Go/No-Go decision be, and why?","Go, because the strong business case, secured funding, and stakeholder support are sufficient to outweigh any data limitations in the current plan.","Go, but with a revised schedule that extends the project timeline to allow the team to gradually accumulate and label additional data over time.","No-Go, because the business objective needs to be redefined to align with a less data-intensive approach that can work with the available physician notes.","No-Go, because insufficient data resources make the project infeasible to execute successfully, regardless of the strength of the business case.",D,"Option A is incorrect because a strong business case cannot compensate for a fundamental lack of data resources. The Go/No-Go decision requires business, data, AND execution feasibility — all three must pass. Option B is incorrect because extending the timeline does not solve the core problem — the startup has no budget to acquire or label additional data, so more time alone will not produce the necessary data resources. Option C is incorrect because while redefining the objective might eventually help, the immediate infeasibility is due to the lack of data resources, not a poorly defined objective. The objective itself is valid. Option D is correct. The AI Go/No-Go decision requires all three feasibility dimensions (business, data, execution) to pass. Even with strong business feasibility, the lack of necessary data resources means data feasibility fails, resulting in a No-Go decision. [Maps to: Phase I – Assess Situation – Resource Requirements]"
Phase I: Business Understanding,Assess Situation,Resource Requirements,"A project manager is tasked with identifying resource requirements for an AI project. To ensure a comprehensive and realistic assessment, who should the project manager involve in this process?","Only the data science team lead, as they have the deepest understanding of technical needs like compute infrastructure, model complexity, and data volume.","Only the business sponsor, as they control the budget allocation and have final authority over which resources are approved for the project.","Only the IT infrastructure team, as they manage the cloud platforms, on-premise servers, and networking resources the AI system will require.","Both business stakeholders to define needs and expected outcomes, and technical stakeholders to estimate the effort, talent, and assets required.",D,"Option A is incorrect because while the data science team understands technical needs, they may not fully understand business requirements, budget constraints, or organizational readiness — leading to an incomplete assessment. Option B is incorrect because while the business sponsor controls the budget, they typically lack the technical expertise to estimate infrastructure, talent, and data resource needs accurately. Option C is incorrect because the IT infrastructure team manages technology resources but does not have visibility into business objectives, data science talent needs, or domain expertise requirements. Option D is correct. Resource assessment is a project management activity that requires input from both business stakeholders (who define what is needed and the expected outcomes) and technical stakeholders (who estimate the effort, talent, and assets required to deliver). This dual input ensures a comprehensive and realistic assessment. [Maps to: Phase I – Assess Situation – Resource Requirements]"
Phase I: Business Understanding,Assess Situation,Schedule Requirements,"An executive sponsor for an AI project demands that the team commit to a fixed launch date of December 31st, with no room for deviation, arguing that traditional software projects can meet fixed deadlines. The project manager explains that AI projects have inherent uncertainty that makes fixed deadlines problematic. What is the primary source of this uncertainty that the project manager should cite?","The unpredictable nature of model performance, which may require multiple iterations of experimentation and validation to achieve acceptable results.","The potential for key team members to leave the project unexpectedly, creating knowledge gaps that delay critical development milestones and deliverables.",The risk of budget cuts from the finance department that could reduce available compute resources and force the team to scale back the project scope.,"The possibility that a competitor will launch a similar AI product first, forcing the team to reprioritize features and adjust the project roadmap.",A,"Option A is correct. A key characteristic of AI projects is the inherent uncertainty in model performance. It is not known in advance whether the data will support the required performance level, making iterative experimentation necessary. The CPMAI framework acknowledges this through its iterative structure, which is why fixed deadlines are problematic for AI projects. Option B is incorrect because team turnover is a general project risk that applies to all projects, not a source of uncertainty unique to AI development. Option C is incorrect because budget cuts are a financial risk that affects all project types equally; this is not the AI-specific uncertainty the project manager should cite. Option D is incorrect because competitive pressure is a market risk, not a source of technical uncertainty in AI model development. [Maps to: Phase I – Assess Situation – Schedule Requirements]"
Phase I: Business Understanding,Assess Situation,Schedule Requirements,"A team is developing the initial schedule for a customer churn prediction project. Which of the following activities must be explicitly considered as part of the schedule requirements during Phase I, due to the iterative nature of AI projects?",The final marketing campaign launch date to target at-risk customers with personalized retention offers based on the model's churn predictions.,"The procurement process for office furniture, desk equipment, and workspace setup for any new team members joining the project.","Multiple iterations for data acquisition, model experimentation, validation cycles, and stakeholder review periods throughout the project lifecycle.","The specific dates and calendar invitations for daily stand-up meetings, sprint retrospectives, and weekly status reports to stakeholders.",C,"Option A is incorrect because a marketing campaign launch date is a downstream business activity that depends on the AI model's output; it is not a schedule requirement for the AI project's development lifecycle. Option B is incorrect because office furniture procurement is an administrative task unrelated to the AI project lifecycle. While supporting new team members matters, it is not a key schedule consideration for AI projects. Option C is correct. Schedule requirements for AI projects must explicitly account for iterative cycles — including data acquisition timelines, model experimentation iterations, validation cycles, and stakeholder review periods. The CPMAI framework acknowledges that AI projects are inherently iterative and schedules must reflect this. Option D is incorrect because daily stand-ups and sprint ceremonies are project management rituals, not the key phase milestones and iterative cycles that drive AI project schedule requirements. [Maps to: Phase I – Assess Situation – Schedule Requirements]"
Phase I: Business Understanding,Assess Situation,Schedule Requirements,"A project team has an aggressive launch deadline. Their initial resource assessment shows they have a limited number of data scientists. The schedule requirements task reveals that extensive data labeling is needed, which is very time-consuming. What is the most realistic trade-off the team should consider to meet the business need?","Remove the data labeling step entirely and use the raw, unlabeled data for model training, accepting whatever accuracy level the unsupervised approach can achieve.",Accept the original timeline as-is and hope the existing data scientists can work faster than estimated to complete the labeling within the current schedule.,"Increase resources by hiring or contracting additional personnel specifically for data labeling, thereby shortening the labeling timeline while maintaining quality.","Delay the project indefinitely until more data scientists become available through the company's internal hiring pipeline, then restart the planning process.",C,"Option A is incorrect because removing a necessary step like data labeling would likely produce an unusable or significantly degraded model, undermining the entire project. Data preparation quality directly affects model performance. Option B is incorrect because hoping team members will work faster than estimated is not a realistic planning strategy. The CPMAI framework requires realistic resource and schedule assessments. Option C is correct. This illustrates the direct interaction between schedule requirements and resource requirements — the time-resource trade-off. To meet an aggressive timeline with a fixed workload, the team can add resources (hire/contract labelers) to compress the schedule. This is a core planning consideration in Phase I. Option D is incorrect because indefinite delay is not a trade-off to meet the original business need — it abandons the timeline entirely. While delaying is sometimes necessary, the question asks for a trade-off to meet the aggressive deadline. [Maps to: Phase I – Assess Situation – Schedule Requirements]"
Phase I: Business Understanding,Assess Situation,Schedule Requirements,"A project team has completed the Assess Situation tasks for a new AI project. They have documented that the project will require six months and a specific set of resources. According to the CPMAI outline, how do these documented schedule and resource requirements directly influence the next steps in Phase I?",They are filed in the project repository for reference during the project closure reports and lessons learned review in Phase VI.,"They feed into the AI Go/No-Go decision as inputs to feasibility assessment, and they are incorporated into the project plan that governs Phases II through VI.",They are used to determine the business success criteria by establishing what outcomes are achievable within the documented time and resource constraints.,They are sent directly to the procurement department to initiate hardware purchases and vendor contract negotiations for the required infrastructure.,B,"Option B is correct. The outputs of the Assess Situation tasks (Resource Requirements and Schedule Requirements) directly feed into two downstream Phase I activities: the AI Go/No-Go decision (where they inform execution feasibility) and the Produce Project Plan task group (where they become part of the formal plan for Phases II through VI). Option A is incorrect because these requirements are used for active planning and decision-making within Phase I, not archived for project closure. The project closure report is a Phase VI activity. Option C is incorrect because business success criteria are determined in the Determine Business Objectives task group, which is a separate and earlier task group within Phase I. Schedule and resource requirements do not define success criteria. Option D is incorrect because while procurement may eventually occur, sending requirements to procurement is an operational action, not the direct next step in the Phase I CPMAI workflow. The requirements must first inform the Go/No-Go decision. [Maps to: Phase I – Assess Situation – Schedule Requirements]"